bronroute,bron_contentblok,doelroute,gevalideerd_fragment,anker_primair,anker_alternatief,reden_volgende_gebruikersvraag,bestandseigenaar,indexvoorwaarde,activatiestatus,qa_status
/montage-demontage/,#grenzen (nieuw),/verzekering/,#uitsluiting,waar de dekking stopt,de uitsluitingen,Wie is aansprakelijk als het misgaat?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #uitsluiting aanwezig in gebouwde HTML, 30-08-2026; bronblok #grenzen moet nog door T2 geschreven worden, niet toetsbaar"
/montage-demontage/,#vervolg (nieuw),/contact/,#contact-intro,uw meubels doorgeven,neem contact op,Hoe geef ik door wat er uit elkaar moet?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #contact-intro aanwezig in gebouwde HTML, 30-08-2026; bronblok #vervolg moet nog door T2 geschreven worden, niet toetsbaar"
/seniorenverhuizing/,#proces (nieuw),/werkwijze/,#opname,wat er bij de opname gebeurt,onze werkwijze,Hoe gaat dat kennismakingsgesprek?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #opname aanwezig in gebouwde HTML, 30-08-2026; bronblok #proces moet nog door T2 geschreven worden, niet toetsbaar"
/seniorenverhuizing/,#ervaringen (nieuw),/klantervaringen/,#kev-reviews-kop,wat andere klanten schreven,de beoordelingen,Hebben jullie dit vaker gedaan?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #kev-reviews-kop aanwezig in gebouwde HTML, 30-08-2026; bronblok #ervaringen moet nog door T2 geschreven worden, niet toetsbaar"
/seniorenverhuizing/,#vervolg (nieuw),/contact/,#contact-intro,even samen bellen,neem contact op,Kan ik hier iemand over spreken?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #contact-intro aanwezig in gebouwde HTML, 30-08-2026; bronblok #vervolg moet nog door T2 geschreven worden, niet toetsbaar"
/spoedverhuizing/,#proces (nieuw),/werkwijze/,#zo-werkt-het,hoe het normaal verloopt,onze werkwijze,Wat sla ik over bij spoed?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #zo-werkt-het aanwezig in gebouwde HTML, 30-08-2026; bronblok #proces moet nog door T2 geschreven worden, niet toetsbaar"
/spoedverhuizing/,#dekking (nieuw),/verzekering/,#basis,waarvoor u verzekerd bent,wat er gedekt is,Blijft het verzekerd als het snel moet?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #basis aanwezig in gebouwde HTML, 30-08-2026; bronblok #dekking moet nog door T2 geschreven worden, niet toetsbaar"
/spoedverhuizing/,#vervolg (nieuw),/contact/,#contact-adres,bel ons direct,onze bereikbaarheid,Wanneer kan ik bellen?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #contact-adres aanwezig in gebouwde HTML, 30-08-2026; bronblok #vervolg moet nog door T2 geschreven worden, niet toetsbaar"
/zorgverhuizing/,#proces (nieuw),/werkwijze/,#aanspreekpunt,"een verhuizing, een aanspreekpunt",onze werkwijze,Met wie hebben onze mensen te maken?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #aanspreekpunt aanwezig in gebouwde HTML, 30-08-2026; bronblok #proces moet nog door T2 geschreven worden, niet toetsbaar"
/zorgverhuizing/,#organisatie (nieuw),/over-ons/,#wie-wij-zijn,wie deze verhuizingen doet,over De Kievit,Aan wie vertrouwen wij dit toe?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #wie-wij-zijn aanwezig in gebouwde HTML, 30-08-2026; bronblok #organisatie moet nog door T2 geschreven worden, niet toetsbaar"
/zorgverhuizing/,#ervaringen (nieuw),/klantervaringen/,#kev-vaak-kop,wat klanten hierover schrijven,de beoordelingen,Hebben jullie hier ervaring mee?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #kev-vaak-kop aanwezig in gebouwde HTML, 30-08-2026; bronblok #ervaringen moet nog door T2 geschreven worden, niet toetsbaar"
/zorgverhuizing/,#vervolg (nieuw),/contact/,#contact-intro,een gesprek inplannen,neem contact op,Hoe zetten wij dit in gang?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #contact-intro aanwezig in gebouwde HTML, 30-08-2026; bronblok #vervolg moet nog door T2 geschreven worden, niet toetsbaar"
/piano-verhuizen/,#proces (nieuw),/werkwijze/,#opname,wat wij bij de opname bekijken,onze werkwijze,Hoe bepalen jullie of het kan?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #opname aanwezig in gebouwde HTML, 30-08-2026; bronblok #proces moet nog door T2 geschreven worden, niet toetsbaar"
/piano-verhuizen/,#dekking (nieuw),/verzekering/,#bedragen,tot welk bedrag uw instrument gedekt is,wat er gedekt is,Wat als mijn vleugel beschadigd raakt?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #bedragen aanwezig in gebouwde HTML, 30-08-2026; bronblok #dekking moet nog door T2 geschreven worden, niet toetsbaar"
/piano-verhuizen/,#vervolg (nieuw),/contact/,#contact-intro,uw instrument doorgeven,neem contact op,Hoe vraag ik een prijs op?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #contact-intro aanwezig in gebouwde HTML, 30-08-2026; bronblok #vervolg moet nog door T2 geschreven worden, niet toetsbaar"
/antiek-en-kunst-verhuizen/,#verpakking (nieuw),/inpaktips/,#inpak-breekbaar,hoe wij breekbaar verpakken,onze inpaktips,Hoe wordt het ingepakt?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #inpak-breekbaar aanwezig in gebouwde HTML, 30-08-2026; bronblok #verpakking moet nog door T2 geschreven worden, niet toetsbaar"
/antiek-en-kunst-verhuizen/,#dekking (nieuw),/verzekering/,#uitsluiting,wat er voor kunst en verzamelingen geldt,de uitsluitingen,Is mijn collectie wel gedekt?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #uitsluiting aanwezig in gebouwde HTML, 30-08-2026; bronblok #dekking moet nog door T2 geschreven worden, niet toetsbaar"
/antiek-en-kunst-verhuizen/,#vervolg (nieuw),/contact/,#contact-intro,uw objectlijst doorgeven,neem contact op,Hoe laat ik dit taxeren?,"T2 (nieuw servicebronbestand, Fase 3)",pas activeren in het atomaire release-item van de servicroute,NA RELEASE,"DEELS GETOETST: doelfragment #contact-intro aanwezig in gebouwde HTML, 30-08-2026; bronblok #vervolg moet nog door T2 geschreven worden, niet toetsbaar"
